C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Encounter-MolicAVC-EncouterExample.json: line 124, col 26, Warning - ValueSet https://build.fhir.org/valueset-encounter-status.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38064, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38094, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38124, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38154, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38686, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38686, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38423, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38563, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38593, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38623, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38653, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38683, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 39073, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 39073, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38810, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38950, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 38980, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 39010, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 39040, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 39070, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 39461, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 39461, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 39172, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 39311, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 39340, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 39369, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 39398, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 39428, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-VR12Questionnaire.json: line 1, col 39458, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34860, Warning - Rule cnl-0: 'Name should be usable as an identifier for the module by machine processing applications such as code generation' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 29204, Error - Unable to resolve resource with reference 'ICHOM' (STRUCTURE)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30392, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30392, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30132, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30273, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30302, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30331, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30360, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30389, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30799, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30799, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30539, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30680, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30709, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30738, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30767, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30796, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31228, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31228, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 30968, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31109, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31138, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31167, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31196, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31225, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31712, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31712, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31452, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31593, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31622, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31651, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31680, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31709, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32104, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32104, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31844, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 31985, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32014, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32043, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32072, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32101, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32513, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32513, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32253, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32394, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32423, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32452, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32481, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32510, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32933, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32933, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32673, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32814, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32843, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32872, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32901, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 32930, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33317, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33317, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33057, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33198, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33227, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33256, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33285, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33314, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33693, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33693, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33433, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33574, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33603, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33632, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33661, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33690, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34090, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34090, Error - Rule que-5: 'Only coding, decimal, integer, date, dateTime, time, string or quantity  items can have answerOption or answerValueSet' Failed (INVARIANT)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33830, Warning - ValueSet https://www.hl7.org/fhir/valueset-item-type.html not found (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 33971, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34000, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34029, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34058, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34087, Warning - A code with no system has no defined meaning. A system should be provided (CODEINVALID)
C:\xampp\htdocs\fhir.schema.json\MolicAVC_Implementation_Guide\fsh-generated\resources\Questionnaire-MolicAVC-WHODASQuestionnaire.json: line 1, col 34476, Error - Rule que-4: 'A question cannot have both answerOption and answerValueSet' Failed (INVARIANT)
